Course Title,Description,Prerequisites,Preq_Notes,Keywords,Course Code,Department,Credits,Difficulty
ENME 3991 Independent Study (1-5 Credits),Topics in mechanical engineering investigated under faculty supervision. May be taken more than once. Students must obtain and complete an Independent Study form from the Office of the Registrar. Prerequisite: permission of instructor.,,,"an independent study form, engineering, faculty, faculty supervision, form, independent, instructor, mechanical, mechanical engineering, office, permission, registrar, supervision, the office, the registrar",ENME 3991,ENME,0,Unknown
ENME 3320 Computer Aided Design and Analysis (4 Credits),"Introduction to the use of computer aided design and analysis with applications to solid and fluid mechanics, heat transfer and vibrations; projects in one or more of the above areas. Emphasis on how to use the software to analyze engineering systems. Prerequisites ENME 2541 and ENME 2651.","ENME2541, ENME2651",,"computer, computer aided design, engineering, engineering systems, enme, fluid, heat, heat transfer, mechanic, software, solid, solid and fluid mechanics, the above areas, the software, the use, transfer, use, vibration",ENME 3320,ENME,4,Beginner
ENME 3651 Computational Fluid Dynamics (4 Credits),"This course introduces principles and applications of computational methods in fluid flow and topics chosen from heat transfer, mass transfer or two phase flow. The conservation equations, their discretations and solutions, are presented. Convergence and validity of solutions along with computational efficiency are explored. Students learn to apply these techniques using the latest software packages. Prerequisites: ENME 2671.",ENME2671,,"computational, computational efficiency, computational methods, conservation, convergence, discretation, efficiency, enme, equation, flow, fluid, fluid flow, heat, heat transfer, late, mass, mass transfer, package, phase, software, solution, technique, the conservation equations, the latest software packages, their discretations, these techniques, this course, transfer, two phase flow, validity",ENME 3651,ENME,4,Beginner
ENME 2720 Engineering Thermodynamics II (3 Credits),"Properties of a pure substance. Use of tables of properties. First and second laws of thermodynamics for closed and open systems. Work, heat, power and entropy. Engine, power plant and refrigeration cycles. Gas mixtures, thermodynamic relations and chemical reactions. Prerequisite: ENME 2710.",ENME2710,,"a pure substance, chemical, chemical reactions, closed, closed and open systems, engine, enme, entropy, first and second laws, gas, gas mixtures, heat, law, mixture, open, plant, power, power plant, property, pure, reaction, refrigeration, refrigeration cycles, relation, second, substance, table, thermodynamic, thermodynamic relations, use",ENME 2720,ENME,3,Unknown
ENME 2510 Statics (4 Credits),"Study of static force systems. Topics include resolution and composition of forces and moments, equilibrium of two-dimensional and three-dimensional force systems, shear and moments in beams, friction, and moments of inertia. Includes a laboratory component where students will engage in hands-on projects that apply loading equilibrium, design of structures, and stress/strain. Prerequisites: MATH 1951 ANDPHYS 1211.",MATH1951,,"a laboratory component, beam, component, composition, dimensional, equilibrium, force, friction, hand, hands-on projects, inertia, laboratory, loading, loading equilibrium, math, moment, resolution, shear, static, static force systems, strain, stress, structure, two-dimensional and three-dimensional force systems",ENME 2510,ENME,4,Unknown
ENME 2520 Dynamics I with Lab (4 Credits),"Particles Kinematics, Reference Frames, Coordinate Systems, Newton’s Laws, Energy and Momentum, Multiparticle Systems, Collisions, Variable Mass Systems. These topics are addressed through analytical analysis, numerical simulation using Matlab, and experimental data collection. Cross listed with PHYS 2520. Corequisite: MATH 2080; Prerequisite: ENME 2510 ANDMATH 2070.","ENME2510, MATH2080, PHYS2520",,"analytical, analytical analysis, andmath, collection, collision, coordinate, coordinate systems, corequisite, cross, energy, enme, experimental, experimental data collection, frame, kinematic, law, mass, math, matlab, momentum, multiparticle, multiparticle systems, newton, newton’s laws, numerical, numerical simulation, phy, reference, reference frames, simulation, these topics, variable, variable mass systems",ENME 2520,ENME,4,Unknown
ENME 2410 Materials Science I (3 Credits),"Atomic structure, bonding and crystal structures in solids. Diffusion and crystal defects. Thermodynamics and phase equilibria in one-, two- and three-component systems, binary phase diagrams. Kinetics and phase transformations. Specific microstructure and mechanical properties of metals, glasses, ceramics, polymers and composites. Electrical conduction: energy levels and bands, charge carriers and insulators. Semiconductors of intrinsic and extrinsic types. Prerequisites: PHYS 1212, CHEM 1010, MATH 1952, and ENME 2710.","CHEM1010, ENME2710, MATH1952, PHYS1212",,"atomic, atomic structure, band, binary, binary phase diagrams, bonding, carrier, ceramic, charge, charge carriers, chem, component, composite, conduction, crystal, crystal structures, defect, diagram, diffusion, diffusion and crystal defects, electrical, electrical conduction, energy, energy levels, enme, equilibrium, extrinsic, glass, insulator, intrinsic, intrinsic and extrinsic types, kinetic, level, math, mechanical, metal, microstructure, one-, two- and three-component systems, phase, phy, polymer, property, semiconductor, solid, specific microstructure and mechanical properties, structure, thermodynamic, transformation, type",ENME 2410,ENME,3,Unknown
ENME 3661 Mechanical Energy Systems Engineering (4 Credits),"This course covers energy systems engineering analysis from a mechanical and materials engineering perspective. This course covers energy production from traditional energy systems that use fossil fuel combustion such as internal combustion engines, coal-fired plants, and natural gas turbines, to nuclear energy and renewable energy methods such as wind, solar, hydraulic, and geothermal. Lastly, the course will survey emerging technologies for future (21 st century) energy systems. Students should have taken at a minimum Thermodynamics, Dynamics, and Fluid Dynamics courses. Prerequisites: ENME 2720, ENME 2510, ENME 2651.","ENME2510, ENME2651, ENME2720",,"a mechanical and materials engineering perspective, a minimum thermodynamics, coal, coal-fired plants, combustion, dynamic, emerging technologies, energy, energy production, energy systems, engine, engineering, enme, fluid, fluid dynamics courses, fossil, fossil fuel combustion, fuel, future, future energy systems, gas, geothermal, hydraulic, internal, internal combustion engines, material, mechanical, minimum, natural, natural gas turbines, nuclear, nuclear energy, perspective, plant, production, renewable, renewable energy methods, solar, technology, the course, thermodynamic, this course, traditional, traditional energy systems, turbine, wind",ENME 3661,ENME,4,Unknown
ENME 2671 Heat Transfer II with Lab (4 Credits),"Course series provides students with the basic skill levels required to solve fluid-mechanics and heat transfer problems. Topics include hydrostatics, dimensional analysis, incompressible and compressible flows, conduction, convection and radiation. Students explore a variety of solution techniques such as control volume, differential analysis, boundary layer analysis, finite differencing and resistance network analogies. Prerequisite: ENME 2661.",ENME2661,,"a variety, analogy, boundary, boundary layer analysis, compressible, conduction, control, control volume, convection, course series, differencing, differential, differential analysis, dimensional, dimensional analysis, enme, finite, finite differencing, flow, fluid, fluid-mechanics and heat transfer problems, heat, hydrostatic, incompressible, layer, level, mechanic, network, radiation, resistance, resistance network analogies, series, solution, solution techniques, technique, the basic skill levels, transfer, variety, volume",ENME 2671,ENME,4,Beginner
ENME 2661 Fluid Dynamics II/Heat Transfer I (3 Credits),"Course series provides students with the basic skills levels required to solve fluid-mechanics and heat transfer problems. Topics include hydrostatics, dimensional analysis, incompressible and compressible flows, conduction, convection and radiation. Students explore a variety of solution techniques such as control volume, differential analysis, boundary layer analysis, finite differencing and resistance network analogies. Prerequisite: ENME 2651.",ENME2651,,"a variety, analogy, boundary, boundary layer analysis, compressible, conduction, control, control volume, convection, course series, differencing, differential, differential analysis, dimensional, dimensional analysis, enme, finite, finite differencing, flow, fluid, fluid-mechanics and heat transfer problems, heat, hydrostatic, incompressible, layer, level, mechanic, network, radiation, resistance, resistance network analogies, series, solution, solution techniques, technique, the basic skills levels, transfer, variety, volume",ENME 2661,ENME,3,Beginner
ENME 3810 Mechanical Engineering Capstone Laboratory (3 Credits),"This course is the capstone mechanical engineering laboratory course requiring independent experimental design by student teams. Using experimental equipment available in heat transfer, fluid mechanics, solid mechanics, thermodynamics, and measurement and control, the student team is required to design experiments to solve given problems which will be unique to each team. This course encourages students to develop experimental design and research techniques while continuing to improve skills in fundamental lab notebook keeping, uncertainty analysis in measurements, data acquisition, data analysis, report writing, oral presentations, and laboratory safety and procedures. Prerequisite: ENME 2810.",ENME2810,,"acquisition, available, capstone, control, data acquisition, data analysis, each team, engineering, enme, equipment, experiment, experimental, experimental design and research techniques, experimental equipment, fluid, fluid mechanics, fundamental lab notebook keeping, heat, heat transfer, independent, independent experimental design, keeping, lab, laboratory, laboratory safety, measurement, mechanic, mechanical, notebook, oral, oral presentations, presentation, procedure, safety, solid, solid mechanics, student teams, team, technique, the capstone mechanical engineering laboratory course, the student team, thermodynamic, this course, transfer, uncertainty, uncertainty analysis, unique, writing",ENME 3810,ENME,3,Beginner
ENME 2810 Mechanical Engineering Lab I (3 Credits),"Engineering experiments illustrating selected topics in heat transfer, fluid mechanics, solid mechanics, thermodynamics, measurement and control. Use of microcomputers in experimentation and control. This course encourages the development of laboratory experimentation skills, design skills and technical writing skills. Prerequisites: ENME 2540 ANDENME 2671.",ENME2540,,"andenme, control, design skills, engineering, engineering experiments, enme, experiment, experimentation, fluid, fluid mechanics, heat, heat transfer, laboratory, laboratory experimentation skills, measurement, mechanic, microcomputer, selected topics, solid, solid mechanics, technical, technical writing skills, the development, thermodynamic, this course, transfer, use, writing",ENME 2810,ENME,3,Unknown
ENMT 3991 Independent study (1-5 Credits),Topics in mechatronics engineering investigated under faculty supervision. May be taken more than once. Students must obtain and complete an Independent Study form from the Office of the Registrar. Prerequisite: permission of instructor.,,,"an independent study form, engineering, faculty, faculty supervision, form, independent, instructor, mechatronic, mechatronics engineering, office, permission, registrar, supervision, the office, the registrar",ENMT 3991,ENMT,0,Unknown
ENMT 3800 Topics (Mechatronics) (1-4 Credits),Various topics in mechatronics system engineering as announced. May be taken more than once. Prerequisite: varies with offering.,,,"engineering, mechatronic, mechatronics system engineering, offering, various topics",ENMT 3800,ENMT,0,Unknown
ENMT 3220 Mechatronics II - Real-Time Systems (4 Credits),"Real-time systems require timely response by a computer to external stimuli. This course examines the issues associated with deterministic performance including basic computer architecture, scheduling algorithms, and software design techniques including data flow diagrams, real-time data flow diagrams, stat transition diagrams, and petri nets. In the lab portion of this class, students program a microcontroller to interact with mechatronic devices. Prerequisite: ENCE 3210.",ENCE3210,,"a computer, a microcontroller, algorithm, architecture, basic computer architecture, computer, data flow diagrams, deterministic, deterministic performance, device, diagram, ence, external, external stimuli, flow, lab, mechatronic, mechatronic devices, microcontroller, net, performance, petri, petri nets, portion, real, real-time data flow diagrams, real-time systems, response, scheduling, scheduling algorithms, software, software design techniques, stat, stat transition diagrams, stimulus, technique, the issues, the lab portion, this class, this course, time, timely, timely response, transition",ENMT 3220,ENMT,4,Beginner
ENVI 3000 Environmental Law (4 Credits),"Purpose and applications of federal laws pertaining to environmental protection, including NEPA, RCRA, CERCLA, and Clean Water and Clean Air Acts; addresses role of states in implementation of federal environmental laws.",,,"act, address, addresses role, air, cercla, clean, clean air acts, clean water, environmental, environmental protection, federal, federal environmental laws, federal laws, implementation, law, nepa, protection, purpose, rcra, state, water",ENVI 3000,ENVI,4,Unknown
ENVI 3999 Environmental Science Internship (1-5 Credits),"Supervised internship in a state, local, or federal office or in the private sector. Prerequisites: 15 quarter hours in the environmental science major and approval of supervising faculty. Maximum of 5 quarter hours total.",,,"15 quarter hours, a state, local, or federal office, approval, environmental, faculty, federal, hour, internship, maximum, maximum of 5 quarter hours total, office, private, quarter, science, sector, state, the environmental science major, the private sector, total",ENVI 3999,ENVI,0,Unknown
ENVI 3995 Independent Research (1-5 Credits),Original research in environmental science topic under sponsorship of a faculty member; applicable to studies that focus primarily on discovery of new knowledge through application of scientific method.,,,"a faculty member, applicable, discovery, environmental, environmental science topic, faculty, member, new, new knowledge, original, original research, science, scientific method, sponsorship",ENVI 3995,ENVI,0,Unknown
ENVI 3991 Independent Study (1-5 Credits),Study of a topic not covered in existing course offerings. May be used for work completed in off-campus internships that focus primarily on the mastery of existing knowledge.,,,"a topic, campus, existing course offerings, existing knowledge, internship, mastery, offering, the mastery",ENVI 3991,ENVI,0,Unknown
ENVI 2950 Topics in Env. Science (1-4 Credits),"An in-depth coverage of a specific environmental issue, topic, or problem. Topics vary with instructor.",,,"a specific environmental issue, coverage, depth, environmental, instructor",ENVI 2950,ENVI,0,Unknown
ENVI 2660 Environmental History of Sonora & Baja Mexico (5 Credits),"Geography and ecology of desert southwest emphasizing Mexican states of Sonora, Baja California del Sur and Baja California. Traveling by van and lodging in tents, trip covers 3, 500 miles, offers hands-on experience with principles and problems of physical geography and ecology in desert environments. Offered only during Interterm.",,,"500 miles, baja, baja california, baja california del sur, california, del, desert, desert environments, desert southwest emphasizing, ecology, emphasizing, experience, geography, hand, hands-on experience, interterm, mexican, mexican states, mile, physical, physical geography, sonora, southwest, state, sur, tent, trip, van",ENVI 2660,ENVI,5,Unknown
ENVU 3300 Sustainability Issues and Solutions (4 Credits),"This course is designed to familiarize students with basic concepts, principles and issues geared toward sustainability, and to provide working tools for sustainability planning. The three major interactive dimensions of sustainability are delineated ( ecological sensitivity, social responsiveness and economic responsiveness) and cover case study examples. A Sustainability Lifecycle Analysis is developed to provide a guide for understanding sustainability and identifying sustainability intervention points for optimizing sustainability initiatives. While sustainability is a strong interdisciplinary subject, the course addresses sustainability in specific sectors, including energy, food, housing, official services, urban planning, transportation and manufacturing. With those areas in mind, coursework centers on student development of sustainability plans in areas of special interest, including workplace, community of household.",,,"a guide, a strong interdisciplinary subject, a sustainability lifecycle analysis, basic concepts, case study examples, center, coursework, delineated, dimension, energy, example, food, guide, household, housing, initiative, interactive, interest, intervention, lifecycle, manufacturing, mind, official, official services, plan, planning, point, sector, service, special, special interest, specific sectors, strong, student development, subject, sustainability, sustainability initiatives, sustainability intervention points, sustainability planning, sustainability plans, the course, the three major interactive dimensions, this course, those areas, tool, transportation, urban, urban planning, working, working tools, workplace",ENVU 3300,ENVU,4,Beginner
"ENVU 3100 Environmental Law, Regulations and Policy (4 Credits)","There has been explosive growth in environmental regulation in the United States in the last fifty years. In order to function in the environmental field or in other fields in which familiarity with environmental regulation is important, a professional needs to understand the policy context for environmental regulation, as well as have general familiarity with the major environmental laws, their applications and mechanisms. This course is an introductory survey of major federal environmental laws. This course reviews concepts of the English and American common law as they relate to the development of United States environmental law. Students learn the policy objectives, as well as the major provisions and approaches of the National Environmental Policy Act (NEPA), the Clean Water Act, the Clean Art Act, the Resource Conservation and Recovery Act (RCRA), the Comprehensive Environmental Response, Compensation, and Liability Act (CERCLA), and the United States approach to regulation of chemicals. Other laws are described as they relate to concepts in the above. Students also learn the roles and relationships of different branches and levels of government in assuring environmental protection.",,,"a professional needs, act, american, american common law, an introductory survey, art, branch, chemical, clean, common, compensation, comprehensive, conservation, different branches, english, environmental, environmental protection, environmental regulation, explosive, explosive growth, familiarity, federal, general, general familiarity, government, growth, important, introductory, law, level, liability, major federal environmental laws, mechanism, need, objective, order, other fields, other laws, policy, professional, protection, provision, recovery, regulation, relationship, resource, response, states, survey, the clean art act, the clean water act, the development, the environmental field, the last fifty years, the major environmental laws, the major provisions, the national environmental policy act, the policy context, the policy objectives, the roles, the united states, their applications, this course, united, united states environmental law, water, year",ENVU 3100,ENVU,4,Beginner
ENVU 3250 Natural Resource Management (4 Credits),"Successful natural resource management requires effective multi-disciplinary planning integrating biological, physical, economic, and social sciences using components of human created constructions such as natural resource policies, guidelines, and collaborative planning procedures. A basic premise of the course is that the concept of ""natural resources"" is human defined and its management is to enhance resource use while maintaining ecological integrity. The emphasis is on the interdisciplinary planning and project implementation for the management of natural resources for desired future outcomes.",,,"""natural resources, a basic premise, biological, biological, physical, economic, and social sciences, collaborative, collaborative planning procedures, component, construction, desired future outcomes, disciplinary, ecological, ecological integrity, effective, effective multi-disciplinary planning, future, guideline, human created constructions, implementation, integrity, its management, management, multi, natural, natural resource policies, natural resources, outcome, physical, planning, policy, premise, procedure, project implementation, resource, resource use, science, successful, successful natural resource management, the concept, the course, the emphasis, the interdisciplinary planning, the management, use",ENVU 3250,ENVU,4,Beginner
ENVU 3200 Ecology and Ecosystems (4 Credits),"This course is intended to provide a basic but firm understanding of the science of ecology from an ecosystem perspective. Students examine the ways in which those underlying principles and knowledge describe the world, how ecosystems function, and what services those systems and the discipline provide to mankind and the earth. Ecology as a scientific discipline has existed for more than a century, but in recent years has become increasingly important for understanding the basis and possible solutions to a myriad of environmental issues. Overall, this course provides the basic vocabulary and the underlying principles that give the science of ecology and ecosystems form and function.",,,"a basic but firm understanding, a myriad, a scientific discipline, an ecosystem perspective, basis, century, earth, ecology, ecosystem, environmental, environmental issues, firm, form, important, mankind, more than a century, myriad, perspective, possible, possible solutions, recent, recent years, science, solution, the basic vocabulary, the basis, the discipline, the earth, the science, the underlying principles, the ways, the world, this course, those systems, those underlying principles, underlying, understanding, vocabulary, way, year",ENVU 3200,ENVU,4,Beginner
ENVU 3150 Environmental Decision-Making (4 Credits),"This course provides a broad introduction to environmental decision-making processes with emphasis on understanding the step by step methodologies that can be applied in a number of diverse situations. The class combines analytical methods drawn from the decision sciences and applied ecology with insights from cognitive psychology. By analyzing a series of exigent environmental issues, students learn how to apply appropriate decision methodologies to both complex and simple environmental decisions. The elements of normative, descriptive, and perspective decision strategies are introduced, and students gain hands on experience applying these three decision strategies in different environmental contexts. Decision biases as well as choice architectures are presented, and the implications of personal values, beliefs, and principles for effective decision making are explored.",,,"a broad introduction, a number, a series, analytical, analytical methods, appropriate, appropriate decision methodologies, architecture, belief, bias, both complex and simple environmental decisions, broad, choice, choice architectures, cognitive, cognitive psychology, complex, contexts, decision biases, descriptive, different environmental contexts, diverse, diverse situations, ecology, effective, effective decision making, element, environmental, environmental decision-making processes, exigent, exigent environmental issues, experience, hand, implication, insight, methodology, normative, normative, descriptive, and perspective decision strategies, number, personal, personal values, perspective, psychology, science, series, simple, situation, step, step methodologies, strategy, the class, the decision sciences, the elements, the implications, the step, these three decision strategies, this course, value",ENVU 3150,ENVU,4,Beginner
"ETHN 2102 1492: Indigeneity, Settler Colonialism, Race (1-2 Credits)","The year 1492 inaugurated a profoundly destructive phase in the history of humanity, but more so for the Indigenous peoples of this hemisphere as Christopher Columbus arrived at the shores of the “New World. ” Within a couple of centuries after his arrival, thriving Indigenous civilizations found themselves in dire straits, if not completely laid to waste, causing untold suffering to the original inhabitants of this continent. The waves of European settlers who followed Columbus not only forcefully settled Indigenous lands by dispossessing Native peoples, but enforced a series of spiritual, cultural, social, political, and economic changes that had devastating effects on Indigenous lifeways. Yet, Indigeneity continues to not only thrive but challenges the ongoing disruption caused by settler-colonial occupation of lands and lives. This course, which is the first of a three-part sequence, takes Indigeneity and its repression by settler-colonialism as a foundational structure that inaugurated other projects of global consequence, including (anti)Black slavery and European colonization of the “Old World. ” While Indigeneity is an international concept, our focus in this class will be on New World Indigeneity, especially North America. We will approach settler colonialism not as a thing of the past but as an ongoing incursion into the lives of Indigenous people, who continue to challenge it in new and innovative ways.",,,"a couple, a foundational structure, a profoundly destructive phase, a series, a thing, a three-part sequence, america, an international concept, an ongoing incursion, arrival, black, black slavery, century, christopher, christopher columbus, civilization, colonial, colonialism, colonization, columbus, consequence, continent, couple, destructive, devastating, devastating effects, dire, dire straits, disruption, effect, especially north america, european, european colonization, european settlers, foundational, global consequence, hemisphere, his arrival, humanity, incursion, indigeneity, indigenous, indigenous lands, indigenous lifeways, indigenous people, inhabitant, innovative, its repression, land, life, lifeway, native, native peoples, new, new and innovative ways, new world indigeneity, north, occupation, old, ongoing, original, other projects, our focus, past, people, phase, repression, sequence, series, settler, settler colonialism, settler-colonial occupation, shore, slavery, spiritual, spiritual, cultural, social, political, and economic changes, strait, structure, suffering, the history, the indigenous peoples, the lives, the ongoing disruption, the original inhabitants, the past, the shores, the waves, the year, the “new world, the “old world, thing, this class, this continent, this course, this hemisphere, thriving indigenous civilizations, untold, untold suffering, waste, wave, way, year",ETHN 2102,ETHN,0,Unknown
ETHN 2004 Quantitative Methods in Critical Race and Ethnic Studies (4 Credits),"Students will be introduced to concepts and methodologies for research and writing in Critical Race and Ethnic Studies (CRES). Building on what students learned in the Introduction to Critical Race and Ethnic Studies, this course aims to expose students to the various quantitative ways that knowledge about CRES is formed. Students will practice quantitative techniques using SPSS and empirical writing about race, ethnicity, and inequality. Prerequisite: ETHN 1004.",ETHN1004,,"cre, critical race, critical race and ethnic studies, empirical, empirical writing, ethn, ethnic, ethnic studies, ethnicity, inequality, methodology, quantitative, quantitative techniques, race, spss, technique, the introduction, the various quantitative ways, this course, way, writing",ETHN 2004,ETHN,4,Beginner
ETHN 3804 Critical Race and Ethnic Studies Capstone (4 Credits),"Students will learn how to conduct in-depth qualitative analyses for research and writing in Critical Race and Ethnic Studies (CRES). Building on what students learned in the Introduction to Critical Race and Ethnic Studies, Research Methods, and Theory, this course aims to enable students to produce their own empirical research. Various qualitative data analysis and research paper writing lessons will be covered throughout the quarter, and it is expected that students will produce a theoretically informed empirical paper centering on CRES topics. Prerequisites: ETHN 1004, ETHN 2004, and ETHN 3004.","ETHN1004, ETHN2004, ETHN3004",,"critical race, critical race and ethnic studies, depth, empirical, ethn, ethnic, ethnic studies, lesson, paper, qualitative, quarter, race, research methods, research paper writing lessons, the introduction, the quarter, their own empirical research, this course, various qualitative data analysis, writing",ETHN 3804,ETHN,4,Beginner
ETHN 2202 1619: Slavery and Its Afterlives (1-2 Credits),"The year 1619 marked the arrival of the first slave ship on the shores of what would come to be known as the United States of America. In August of that year, an English ship reached Point Comfort on the Virginia Peninsula where 20 Black people were sold for food and other essentials. This event inaugurated what would soon become a foundational institution of the New World—anti-Black chattel slavery—which undergirded all aspects of life in the U. S. Even though slavery had existed in many forms and in many places across the globe, what the U. S. model of slavery succeeded in doing was linking slavery with Blackness. This made slavery an inescapable part of Blackness, ensuring that whoever was born Black was also born into slavery. The celebrated theorist Toni Morrison has called slavery “America’s original sin. ” Although slavery was formally abolished through the Emancipation Proclamation issued on Jan 1, 1863, it has continued to structure contemporary Black life, which the theorist Saidiya Hartman has termed the “aftermaths of slavery. ” In other words, for critical Black theorists such as Hartman, slavery never ended but transformed into other structures that continue to render Black lives disposable. This class embraces Hartman’s understanding of slavery as an institution that has survived in (c)overt forms, as critical to understanding contemporary issues faced by Black people.",,,"20 black people, a foundational institution, aftermath, all aspects, america, an english ship, an institution, anti, anti-black chattel slavery, arrival, aspect, august, black, black lives, black people, blackness, chattel, comfort, contemporary black life, contemporary issues, critical black theorists, disposable, emancipation, english, essential, event, food, form, foundational, globe, hartman, inescapable, institution, jan, life, many forms, many places, morrison, new, original, other essentials, other structures, other words, overt, overt forms, peninsula, people, place, point, point comfort, proclamation, saidiya, ship, shore, sin, slave, slavery, states, structure, that year, the arrival, the celebrated theorist toni morrison, the emancipation proclamation, the first slave ship, the globe, the new world, the shores, the theorist saidiya hartman, the u. s., the u. s. model, the united states, the virginia peninsula, the year, the “aftermaths, theorist, this class, this event, toni, understanding, united, virginia, word, year, “america’s original sin",ETHN 2202,ETHN,0,Unknown
ETHN 1004 Introduction to Critical Race and Ethnic Studies (4 Credits),"Critically examines the concept of race, ethnicity, and indigeneity as categories of social, political, historical, and cultural significance, in the United States and internationally, followed by an investigation of colorblindness, diversity ideology, and modern manifestations of racial inequality. Race and ethnicity are examined as they intersect with gender, sexuality, social class, indigeneity, and immigration status. This course counts toward the Scientific Inquiry: Society and Culture requirement.",,,"an investigation, category, colorblindness, diversity, diversity ideology, ethnicity, gender, ideology, immigration, immigration status, indigeneity, inequality, inquiry, investigation, manifestation, modern, modern manifestations, race, racial, racial inequality, sexuality, significance, social class, social, political, historical, and cultural significance, society and culture requirement, states, status, the concept, the scientific inquiry, the united states, this course, united",ETHN 1004,ETHN,4,Beginner
ETHN 3004 Theories of Critical Race and Ethnic Studies (4 Credits),"Students will be introduced to concepts and theories for research and writing in Critical Race and Ethnic Studies (CRES). Building on what students learned in the Introduction to Critical Race and Ethnic Studies, this course aims to expose students to the key writings the formed the Critical Race Theory (CRT) movement, CRT’s interdisciplinary uses, the modern American controversies surrounding it, and introduce other critical theories of race and ethnicity. Prerequisite: ETHN 1004.",ETHN1004,,"american, controversy, critical race, critical race and ethnic studies, crt, crt’s interdisciplinary uses, ethn, ethnic, ethnic studies, ethnicity, modern, movement, other critical theories, race, the critical race theory movement, the introduction, the key writings, the modern american controversies, this course, use, writing",ETHN 3004,ETHN,4,Beginner
ETHN 2302 1848: Settler Colonialism to Settler Imperialism (1-2 Credits),"Description: 1848 marked the signing of the Treaty of Guadalope-Hidalgo between the U. S. and Mexico. Apart from ending the U. S. -Mexico war, the treaty forced Mexico to cede about half of its territory, including present-day states of Texas as well as California, Nevada, Utah, New Mexico, parts of Colorado, and many other states. This makes it one of the largest land grabs in human history. More importantly, this treaty facilitated the westward expansion of settlers, leading to new forms of racial antagonisms while escalating existing ones. This class approaches this moment as also marking the emergence of the U. S. as an imperialist superpower on the world stage as its war making, which was hitherto focused exclusively on Indigenous groups, would now be expanded to new terrains and increasingly outside the New World. We will also pay attention to how colonial expropriation and racialization of Indigenous and Black people would provide the grammar that the U. S. would use as it encountered racial others both within its newly established but unstable borders as well as across the world. In sum, this class will explore different antagonisms that comprise the ""cacophony of empire"" (Byrd, 2011) and how racialized groups have fought back as well as remained complicit in reinscribing the supremacy of the U. S.",,,"about half, an imperialist superpower, antagonism, attention, black, border, cacophony, california, colonial, colorado, complicit, day, description, different antagonisms, emergence, empire, existing ones, expansion, expropriation, form, grab, grammar, group, guadalope, half, hidalgo, hitherto, how colonial expropriation, human history, imperialist, indigenous, indigenous and black people, indigenous groups, its newly established but unstable borders, its territory, its war making, land, large, many other states, mexico, moment, nevada, new, new forms, new mexico, new terrains, one, part, people, present, present-day states, racial, racial antagonisms, racial others, racialization, racialized groups, settler, signing, stage, state, sum, superpower, supremacy, terrain, territory, texas, the ""cacophony, the emergence, the grammar, the largest land grabs, the new world, the signing, the supremacy, the treaty, the u. s., the u. s. -mexico war, the westward expansion, the world, the world stage, this class, this treaty, treaty, unstable, utah, war, westward",ETHN 2302,ETHN,0,Unknown
EVM 3409 Financial Statements For Entrepreneurs (1 Credit),"Of the four major official statements, the most important to a new business venture are the balance sheet, the income statement, and the statement of cash flows. Knowing how to build and interpret these are critical to your success during not only the early stages of spinning up your business but throughout the lifetime of your business. In this class, based on a wide variety of official transactions, you will learn how to build and interpret an income statement and a statement of cash flows. (It is assumed that you already know how to build and interpret a balance sheet. ) You’ll also learn how to build a proforma income statement and statement of cash flows, based on the official projections of your new business venture.",,,"a new business venture, a proforma income statement, a statement, a wide variety, an income statement, balance, cash, cash flows, early, flow, important, income, lifetime, new, not only the early stages, official, official transactions, proforma, projection, sheet, stage, success, the balance sheet, the four major official statements, the income statement, the lifetime, the official projections, the statement, this class, transaction, variety, venture, wide, your business, your new business venture, your success",EVM 3409,EVM,1,Unknown
EVM 3402 Creating Your Digital Presence (1 Credit),"Creating awareness of your new business venture is one of the most important tasks in the early stages of building your business. Creating awareness by driving traffic through and to your digital presence is essential. To help you as you embark on an entrepreneurial effort, this courses focuses on building an integrated digital presence with a website, Facebook Business Page, Twitter account, Pinterest account, and an Instagram account.",,,"a website, account, an entrepreneurial effort, an integrated digital presence, awareness, digital, early, effort, entrepreneurial, essential, facebook, important, instagram, new, page, pinterest, presence, stage, task, the early stages, the most important tasks, this courses, traffic, venture, website, your business, your digital presence, your new business venture",EVM 3402,EVM,1,Unknown
EVM 3414 Market Discovery and Product-Market Fit (1 Credit),"Market discovery is about identifying demand for ideas and innovations. Students will discover that some markets have already been established and others have yet to be created. Product market fit takes time. At first new ideas and innovations may not fit an existing market, requiring a new market to be developed. We’ll study example companies in a wide variety of industries that over time found the correct product market fit. Students in this Sprint will learn methodologies to find and assess product market fit for new ideas and innovations. This Sprint has asynchronous work that is available 2-weeks prior to the in-person class. The asynchronous work, up to 40% of the total work for the class, is required to be completed prior to the in-person class. There is a post class project that is due two weeks after the in-person class.",,,"a new market, a post class project, a wide variety, an existing market, asynchronous, asynchronous work, available, company, correct, demand, discovery, example, example companies, first new ideas, fit, idea, industry, innovation, market, market discovery, methodology, new, new ideas, person, post, product, product market fit, some markets, sprint, the asynchronous work, the class, the correct product market fit, the total work, this sprint, time, total, up to 40%, variety, week, wide",EVM 3414,EVM,1,Unknown
